idx	chapter	ref
1	1	"Although most dictionary definitions of ""seduction"" stress its negative qualities, the <a class='reflink' target='_blank' href='https://www.oed.com/view/Entry/174733?redirectedFrom=seduction#eid'>Oxford English Dictionary</a> lists as its fifth definition, ""seductiveness, alluring quality."""
2	1	"This point is most clearly made by Alexander Murphy (1997, 257). As he framed it, ""one of the most notable features of Western social science between 1945 and the early 1970s was the tendency to treat the state as the only territorial unit of great significance in industrialized societies."""
3	1	"As John Agnew (1994, 59) argues, the nation-state construct ""seems innocent enough, except that it endows the territorial state with the legitimacy of representing and expressing the 'character' or 'will' of the nation."""
4	1	See the Online Cambridge Dictionary. The definition can be found at:  http://dictionary.cambridge.org/us/dictionary/english/nation-state
5	1	"According to the authoritative <a class='reflink' target='_blank' href='https://www.oed.com/view/Entry/255438?redirectedFrom=nation-state#eid'>Oxford English Dictionary</a>, a nation-state is ""more generally any independent political state."""
6	1	"As Bernard Yack (2003, 35) points out, ""...we tend to use the worlds 'nation' and 'people' interchangeably, in both ordinary and scholarly language."""
7	1	"To be sure, not all scholarship on the subject maintains this essential distinction. Scholars as insightful as Daron Acemoglu and James A. Robinson (2012), for example, use the term ""nation"" as a mere synonym for ""independent country,"" as is reflected in the title of their important book <i>Why Nations Fail: The Origins of Power, Prosperity, and Poverty</i>. Revealingly, such terms as ""nation"" and ""nation-state"" do not appear in the book's index. <br><br> Similarly, Philip G. Roeder (2007, 3, 12), in a perceptive study of the origin of the nation-state (focusing on the former Soviet Union), argued that in mid-2006 the world contained 192 nation-states (the members of the United Nations), as well as one potential nation-state, Taiwan. Yet he also allows that ""there may be as many as six to eight hundred active nation-state projects and another seven to eight thousand potential projects,"" defining a ""nation-state project as ""a claim that a specific population (purportedly a nation) should be self-governing within a sovereign state of its own."""
8	1	Russell (1991).
9	1	"Devastating criticism of the model's key components are so common that we cannot possibly do them justice. Here we would only highlight Robert D. Kaplan's (2001, 38) essay on ""The Lies of Mapmakers,"" in which he advised his readers to ""consider the map of the world, with its 190 or so countries, each signified by a bold and uniform color,"" and then went on to bemoan the fact that ""this inflexible, artificial reality staggers on, not only in the United Nations but in various geographical and travel publications...""  "
10	1	"Anderson (1996, 1). Similarly, Timothy Baycroft and Mark Hewitson (2006, 1) contend that the simple question ""what is a nation"" has yet to receive a satisfactory answer."
