CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
5889230,2013,2014-11-18,9730,2013-01-08,1155,13533,,2,1,9,2700,0,1,3,,1,072,"RT 156","CASTROVILLE BL",500.00,W,N,A,-,Y,MON,5,156,-,R,1.730,H,-,E,Y,3,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,1,,,,,Y,Y,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",,,MONTEREY,UNINCORPORATED,-121.7445816,36.767848800000003
5889242,2013,2014-12-02,9730,2013-01-03,1310,14584,,4,1,9,2700,0,1,2,,1,030,"RT 101","5TH ST",2112.00,N,N,A,-,Y,MON,5,101,-,-,71.260,H,-,S,Y,3,0,2,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,1,,,,,Y,,D,22,0,1,1,0,0,0,0,0,0,"- ","- ",,,MONTEREY,UNINCORPORATED,-121.4423968,36.5185429
5889250,2013,2014-01-18,9730,2013-01-02,1040,18350,,3,1,9,2700,0,3,5,,2,006,"ESPINOSA RD","RODGERS RD",10032.00,W,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,05,21460,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",36.747709999999998,-121.72405000000001,MONTEREY,UNINCORPORATED,-121.7245722,36.747320700000003
5889254,2013,2014-12-02,9730,2013-01-05,1800,19806,,6,2,9,2700,0,1,3,,1,074,"RT 1","RT 183",20.00,N,N,C,-,Y,MON,5,1,-,T,92.220,H,-,S,Y,4,0,2,2,A,-,01,23152,A,N,C,C,A,B,H,-,D,D,0,,,,,Y,Y,D,22,0,0,2,0,0,0,0,0,0,"- ","- ",,,MONTEREY,UNINCORPORATED,-121.7654644,36.770805600000003
5908770,2013,2014-01-18,9730,2013-01-14,1135,12332,,1,1,9,2700,0,2,4,,1,075,"SAN JUAN RD","SAN MIGUEL CYN RD",1320.00,W,N,A,-,N,,,,,,,,,,Y,3,0,2,2,A,-,09,21801,A,N,E,C,A,A,H,-,A,D,0,,,,,Y,,D,22,0,1,1,0,0,0,0,0,0,"- ","- ",,,MONTEREY,UNINCORPORATED,-121.6947115,36.901427599999998
5908771,2013,2014-11-20,9730,2013-01-08,1742,19934,,2,2,9,2700,0,1,2,,1,070,"RT 101","DUNBARTON RD",0.00,,Y,A,-,Y,MON,5,101,-,-,100.360,I,5,S,Y,4,0,3,2,A,-,09,21801,A,N,D,C,A,A,H,-,D,D,5,,,,,Y,,D,22,0,0,3,0,0,0,0,0,0,"- ","- ",,,MONTEREY,UNINCORPORATED,-121.6346101,36.845047200000003
5908772,2013,2014-12-02,9730,2013-01-12,1630,19745,,6,2,9,2700,0,1,3,,1,074,"RT 1","RT 183",0.00,,Y,A,-,Y,MON,5,1,-,R,92.213,I,5,N,Y,3,0,4,2,A,-,09,21801,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,,E,22,0,1,3,0,0,0,0,0,0,"- ","- ",36.770760000000003,-121.76539,MONTEREY,UNINCORPORATED,-121.7655785,36.762054599999999
5908775,2013,2014-01-18,9730,2013-01-14,1848,19934,,1,2,9,2700,0,2,4,,1,073,"HALL RD","LAS LOMAS DR",11.00,W,N,A,-,N,,,,,,,,,,N,4,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,C,A,0,,,,,Y,,D,22,0,0,2,0,0,0,0,0,0,"- ","- ",,,MONTEREY,UNINCORPORATED,-121.7337373,36.865337400000001
5908779,2013,2014-04-03,9730,2013-01-21,1550,12332,,1,2,9,2700,0,2,4,,1,073,"SAN MIGUEL CANYON RD","CASTROVILLE BL",30.00,S,N,-,-,N,,,,,,,,,,Y,3,0,1,2,A,-,03,22350,,N,-,-,A,-,-,-,-,-,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",,,MONTEREY,UNINCORPORATED,-121.671689,36.808287900000003
5908780,2013,2014-01-18,9730,2013-01-08,1703,18312,,2,2,9,2700,0,2,4,,1,073,"SAN MIGUEL CANYON RD","PRUNEDALE RD",5.00,W,N,A,-,N,,,,,,,,,,Y,4,0,1,3,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",,,MONTEREY,UNINCORPORATED,-121.6657821,36.801516599999999
