ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,PRIMARY_RD,SECONDARY_RD,DIRECTION,INTERSECTION,STATE_ROUTE,LOCATION_TYPE,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PRIMARY_COLL_FACTOR,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_COND_1,LIGHTING,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,ALCOHOL_INVOLVED,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,CITY,POINT_X,POINT_Y,lat,lon,geometry,city_new
2013,1/8/13,2013-01-08T11:55:00Z,Tuesday,156,CASTROVILLE BL,W,N,156,H,3,0,1,A,1,E,I,A,H,A,N,N,N,N,Y,0,1,0,0,0,0,0,0,0,UNINCORPORATED,-121.7445816,36.7678488,36.7678488,-121.7445816,"c(-121.7445816, 36.7678488)",Other Unincorporated
2013,1/3/13,2013-01-03T13:10:00Z,Thursday,101,5TH ST,N,N,101,H,3,0,2,A,8,E,I,A,H,A,N,N,N,N,N,0,1,1,0,0,0,0,0,0,UNINCORPORATED,-121.4423968,36.5185429,36.5185429,-121.4423968,"c(-121.4423968, 36.5185429)",Other Unincorporated
2013,1/2/13,2013-01-02T10:40:00Z,Wednesday,ESPINOSA RD,RODGERS RD,W,N,NA,NA,4,0,1,A,5,A,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,UNINCORPORATED,-121.7245722,36.7473207,36.7473207,-121.7245722,"c(-121.7245722, 36.7473207)",Other Unincorporated
2013,1/5/13,2013-01-05T18:00:00Z,Saturday,1,183,N,N,1,H,4,0,2,A,1,C,C,A,H,D,N,N,N,N,Y,0,0,2,0,0,0,0,0,0,UNINCORPORATED,-121.7654644,36.7708056,36.7708056,-121.7654644,"c(-121.7654644, 36.7708056)",Castroville
2013,1/14/13,2013-01-14T11:35:00Z,Monday,SAN JUAN RD,SAN MIGUEL CYN RD,W,N,NA,NA,3,0,2,A,9,E,C,A,H,A,N,N,N,N,N,0,1,1,0,0,0,0,0,0,UNINCORPORATED,-121.6947115,36.9014276,36.9014276,-121.6947115,"c(-121.6947115, 36.9014276)",Royal Oaks
2013,1/8/13,2013-01-08T17:42:00Z,Tuesday,101,DUNBARTON RD,NA,Y,101,I,4,0,3,A,9,D,C,A,H,D,N,N,N,N,N,0,0,3,0,0,0,0,0,0,UNINCORPORATED,-121.6346101,36.8450472,36.8450472,-121.6346101,"c(-121.6346101, 36.8450472)",Other Unincorporated
2013,1/12/13,2013-01-12T16:30:00Z,Saturday,1,RT 183,NA,Y,1,I,3,0,4,A,9,A,C,A,H,A,N,N,N,N,N,0,1,3,0,0,0,0,0,0,UNINCORPORATED,-121.7655785,36.7620546,36.7620546,-121.7655785,"c(-121.7655785, 36.7620546)",Castroville
2013,1/14/13,2013-01-14T18:48:00Z,Monday,HALL RD,LAS LOMAS DR,W,N,NA,NA,4,0,2,A,3,C,C,A,H,C,N,N,N,N,N,0,0,2,0,0,0,0,0,0,UNINCORPORATED,-121.7337373,36.8653374,36.8653374,-121.7337373,"c(-121.7337373, 36.8653374)",Royal Oaks
2013,1/21/13,2013-01-21T15:50:00Z,Monday,SAN MIGUEL CANYON RD,CASTROVILLE BL,S,N,NA,NA,3,0,1,A,3,-,-,A,-,-,N,N,N,N,N,0,1,0,0,0,0,0,0,0,UNINCORPORATED,-121.671689,36.8082879,36.8082879,-121.671689,"c(-121.671689, 36.8082879)",Other Unincorporated
2013,1/8/13,2013-01-08T17:03:00Z,Tuesday,SAN MIGUEL CANYON RD,PRUNEDALE RD,W,N,NA,NA,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,UNINCORPORATED,-121.6657821,36.8015166,36.8015166,-121.6657821,"c(-121.6657821, 36.8015166)",Other Unincorporated
2013,1/17/13,2013-01-17T12:20:00Z,Thursday,1,CARMEL HILLS DR,N,N,1,H,3,0,3,A,3,C,C,A,H,A,N,N,N,N,N,0,1,2,0,0,0,0,0,0,UNINCORPORATED,-121.909897,36.5479679,36.5479679,-121.909897,"c(-121.909897, 36.5479679)",Other Unincorporated
2013,4/13/13,2013-04-13T12:23:00Z,Saturday,101,THORNE RD,S,N,101,H,1,1,0,A,8,E,I,A,H,A,N,N,N,N,N,0,0,0,0,0,0,0,0,0,GREENFIELD,-121.2499829,36.3346113,36.3346113,-121.2499829,"c(-121.2499829, 36.3346113)",Greenfield
2013,2/20/13,2013-02-20T09:58:00Z,Wednesday,BLANCO RD,COOPER RD,W,N,NA,NA,1,1,0,A,8,E,I,A,H,A,N,N,N,N,N,0,0,0,0,0,0,0,0,0,UNINCORPORATED,-121.7457935,36.6777869,36.6777869,-121.7457935,"c(-121.7457935, 36.6777869)",Other Unincorporated
2013,3/29/13,2013-03-29T11:36:00Z,Friday,1,AGUAJITO RD,S,N,1,H,1,1,0,A,8,E,I,A,H,A,N,N,N,N,N,0,0,0,0,0,0,0,0,0,MONTEREY,-121.8834935,36.5861265,36.5861265,-121.8834935,"c(-121.8834935, 36.5861265)",Monterey
2013,4/11/13,2013-04-11T08:42:00Z,Thursday,GONZALES RIVER RD,RIVER RD,E,N,NA,NA,1,1,0,A,8,F,A,A,H,A,N,N,N,N,N,0,0,0,0,0,0,0,0,0,UNINCORPORATED,-121.4655506,36.4888134,36.4888134,-121.4655506,"c(-121.4655506, 36.4888134)",Other Unincorporated
2013,4/27/13,2013-04-27T19:35:00Z,Saturday,METZ RD,SPRECKELS RD,N,N,NA,NA,1,1,0,A,5,A,C,A,H,B,N,N,Y,N,N,0,0,0,0,0,0,0,1,0,UNINCORPORATED,-121.1691078,36.3117524,36.3117524,-121.1691078,"c(-121.1691078, 36.3117524)",Other Unincorporated
2013,4/3/13,2013-04-03T06:46:00Z,Wednesday,101,ESPINOSA RD,NA,Y,101,I,1,1,1,A,9,D,C,A,D,B,N,N,N,N,N,0,0,1,0,0,0,0,0,0,UNINCORPORATED,-121.6572829,36.734805,36.734805,-121.6572829,"c(-121.6572829, 36.734805)",Other Unincorporated
2013,4/10/13,2013-04-10T07:51:00Z,Wednesday,PINE AV,19TH ST,W,N,NA,NA,1,1,0,A,10,G,B,C,H,A,Y,N,N,N,N,0,0,0,1,0,0,0,0,0,PACIFIC GROVE,-121.9208732,36.619398,36.619398,-121.9208732,"c(-121.9208732, 36.619398)",Pacific Grove
2013,4/4/13,2013-04-04T05:30:00Z,Thursday,101,MALLORY CANYON RD,N,N,101,H,1,1,2,A,9,D,C,A,D,D,N,N,N,N,N,0,1,1,0,0,0,0,0,0,UNINCORPORATED,-121.6398163,36.8147476,36.8147476,-121.6398163,"c(-121.6398163, 36.8147476)",Other Unincorporated
2013,5/20/13,2013-05-20T21:44:00Z,Monday,SAN JUAN RD,DUNBARTON RD,W,N,NA,NA,1,1,0,A,1,E,I,A,D,D,N,N,N,N,Y,0,0,0,0,0,0,0,0,0,UNINCORPORATED,-121.6392679,36.854771,36.854771,-121.6392679,"c(-121.6392679, 36.854771)",Other Unincorporated
2013,5/16/13,2013-05-16T13:53:00Z,Thursday,SANBORN RD,ABBOTT ST,E,N,NA,NA,1,1,0,A,9,D,C,A,H,A,N,N,Y,Y,N,0,0,0,0,0,0,0,1,0,SALINAS,-121.6356454,36.6577431,36.6577431,-121.6356454,"c(-121.6356454, 36.6577431)",Salinas
2013,7/18/13,2013-07-18T12:43:00Z,Thursday,25,RT 198,N,N,25,H,1,1,0,A,8,F,A,A,H,A,N,N,Y,N,N,0,0,0,0,0,0,0,1,0,UNINCORPORATED,-120.8573655,36.2095056,36.2095056,-120.8573655,"c(-120.8573655, 36.2095056)",Other Unincorporated
2013,6/15/13,2013-06-15T13:55:00Z,Saturday,1,JETTY RD,S,N,1,H,1,1,3,A,9,F,A,A,H,A,N,N,Y,N,N,0,0,3,0,0,0,0,1,3,UNINCORPORATED,-121.7853786,36.8117669,36.8117669,-121.7853786,"c(-121.7853786, 36.8117669)",Moss Landing
